model,persona,AB,BA,order_effect_AB_minus_BA
google/gemini-2.5-flash-lite,P0,0.6071428571428571,0.28125,0.3258928571428571
google/gemini-2.5-flash-lite,P1,0.5294117647058824,0.46153846153846156,0.0678733031674208
google/gemini-2.5-flash-lite,P2,0.6567164179104478,0.41509433962264153,0.24162207828780624
google/gemini-2.5-flash-lite,P3,0.453125,0.4107142857142857,0.0424107142857143
google/gemini-2.5-flash-lite,P4,0.734375,0.42857142857142855,0.30580357142857145
google/gemini-2.5-flash-lite,P5,0.796875,0.35714285714285715,0.43973214285714285
qwen/qwen3-14b,P0,0.5942028985507246,0.39215686274509803,0.20204603580562658
qwen/qwen3-14b,P1,0.5789473684210527,0.42857142857142855,0.1503759398496241
qwen/qwen3-14b,P2,0.5873015873015873,0.543859649122807,0.04344193817878028
qwen/qwen3-14b,P3,0.39436619718309857,0.5306122448979592,-0.13624604771486065
qwen/qwen3-14b,P4,0.5081967213114754,0.6271186440677966,-0.11892192275632119
qwen/qwen3-14b,P5,0.3968253968253968,0.6140350877192983,-0.21720969089390146
