model,persona,display_order,canonical_A_rate,displayed_A_rate,observations
google/gemini-2.5-flash-lite,P0,AB,0.6071428571428571,0.6071428571428571,56
google/gemini-2.5-flash-lite,P0,BA,0.28125,0.71875,64
google/gemini-2.5-flash-lite,P1,AB,0.5294117647058824,0.5294117647058824,68
google/gemini-2.5-flash-lite,P1,BA,0.46153846153846156,0.5384615384615384,52
google/gemini-2.5-flash-lite,P2,AB,0.6567164179104478,0.6567164179104478,67
google/gemini-2.5-flash-lite,P2,BA,0.41509433962264153,0.5849056603773585,53
google/gemini-2.5-flash-lite,P3,AB,0.453125,0.453125,64
google/gemini-2.5-flash-lite,P3,BA,0.4107142857142857,0.5892857142857143,56
google/gemini-2.5-flash-lite,P4,AB,0.734375,0.734375,64
google/gemini-2.5-flash-lite,P4,BA,0.42857142857142855,0.5714285714285714,56
google/gemini-2.5-flash-lite,P5,AB,0.796875,0.796875,64
google/gemini-2.5-flash-lite,P5,BA,0.35714285714285715,0.6428571428571429,56
qwen/qwen3-14b,P0,AB,0.5942028985507246,0.5942028985507246,69
qwen/qwen3-14b,P0,BA,0.39215686274509803,0.6078431372549019,51
qwen/qwen3-14b,P1,AB,0.5789473684210527,0.5789473684210527,57
qwen/qwen3-14b,P1,BA,0.42857142857142855,0.5714285714285714,63
qwen/qwen3-14b,P2,AB,0.5873015873015873,0.5873015873015873,63
qwen/qwen3-14b,P2,BA,0.543859649122807,0.45614035087719296,57
qwen/qwen3-14b,P3,AB,0.39436619718309857,0.39436619718309857,71
qwen/qwen3-14b,P3,BA,0.5306122448979592,0.46938775510204084,49
qwen/qwen3-14b,P4,AB,0.5081967213114754,0.5081967213114754,61
qwen/qwen3-14b,P4,BA,0.6271186440677966,0.3728813559322034,59
qwen/qwen3-14b,P5,AB,0.3968253968253968,0.3968253968253968,63
qwen/qwen3-14b,P5,BA,0.6140350877192983,0.38596491228070173,57
